"_IDOBJ","NOM_COMPLET","THEME","LIBTHEME","CATEGORIE","LIBCATEGORIE","TYPE","LIBTYPE","STATUT","COMMUNE","ADRESSE","TELEPHONE","WEB","CODE_POSTAL","_l"
"2582","Maison de la Musique Sinfonia","1","CULTURE","105","Ecole Culturelle","","","","SAINTE-LUCE-SUR-LOIRE","Rue de la Loire","02 40 25 90 92","","44980","[ 47.2470474609297 , -1.48455170216345]"
"3122","Maison des Jeunes et de la Culture Barakason","1","CULTURE","107","Salle de spectacle","","","","REZE","Allée du Dauphiné","02 40 75 57 28","","44400","[ 47.1861759064261 , -1.55760575280661]"
"2457","Site Gallo Romain Saint Lupien","1","CULTURE","104","Monument","","","","REZE","Chemin Saint Lupien","","","44400","[ 47.1916056918013 , -1.56495187026781]"
"2183","Salle Renault- Barrault","1","CULTURE","107","Salle de spectacle","","","Public","BOUGUENAIS","Rue Andromède","02 40 26 91 53","","44340","[ 47.1792057990308 , -1.58688371245975]"
"2089","Bibliotheque  Mairie Annexe des Couëts","1","CULTURE","103","Médiathèque","10301","Bibliothèque","Public","BOUGUENAIS","Rue Célestin Freinet","02 40 32 02 22","","44340","[ 47.1813469903484 , -1.58849303743162]"
"2028","Salle Polyvalente Escall","1","CULTURE","107","Salle de spectacle","","","Public","ST-SEBASTIEN","Rue des Berlaguts","02 40 03 34 11","www.naoweb.com/partenaires/escall","44230","[ 47.2000377854141 , -1.50352169080196]"
"1958","Bibliothèque Municipale Marcel  Pagnol Maison de la Carrière","1","CULTURE","103","Médiathèque","10301","Bibliothèque","Public","ORVAULT","Rue Marcel Deniau","02 51 78 60 17","","44700","[ 47.2705376124621 , -1.62465190261387]"
"3574","Espace Culturel Odyssée","1","CULTURE","106","Salle d'exposition","","","","ORVAULT","RD 75","","","44700","[ 47.2611747352922 , -1.62197963474854]"
"3436","Studio Théâtre Louis Jouvet","1","CULTURE","107","Salle de spectacle","","","","ORVAULT","Rue Stevin","","","44700","[ 47.259443004217 , -1.63447797065687]"
"2090","Médiathèque Condorcet","1","CULTURE","103","Médiathèque","10303","Médiathèque","Public","BOUGUENAIS","Rue Pablo Neruda","02 40 32 04 54","","44340","[ 47.1704056799218 , -1.62227289753155]"
"3152","Hall de La Trocardière","1","CULTURE","107","Salle de spectacle","","","","REZE","Rue de la Trocardière","02 51 70 30 40","http://www.nge-nantes.fr/","44400","[ 47.1814882110892 , -1.57240928495203]"
"1247","Le Lieu Unique Nantes","1","CULTURE","107","Salle de spectacle","","","","NANTES","Quai Ferdinand Favre","02 40 12 14 34","www.lelieuunique.com","44000","[ 47.2152661553546 , -1.54566621075059]"
"2710","Bibliothèque Libre Cour","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","VERTOU","Rue Henri Charpentier","02 40 34 41 72","","44120","[ 47.1689731390713 , -1.47170385431833]"
"3325","Ecole de Musique Vertou","1","CULTURE","105","Ecole Culturelle","","","Public","VERTOU","Rue Henri Charpentier","02 40 03 45 05","","44120","[ 47.1686804490679 , -1.47268913567518]"
"3326","Ecole de Danse Vertou","1","CULTURE","105","Ecole Culturelle","","","Public","VERTOU","Rue du Onze Novembre 1918","02 40 03 45 05","","44120","[ 47.1696238019548 , -1.47538377442246]"
"2481","Théâtre Boris Vian","1","CULTURE","107","Salle de spectacle","","","","COUERON","Rue Edmond Rostand","02 28 25 85 35","","44220","[ 47.2160486641888 , -1.73080571399242]"
"2705","Bibliothèque Sorinières","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","LES-SORINIERES","Rue des Ecoles","02 40 04 48 92","","44840","[ 47.1498501471191 , -1.52713237454125]"
"1421","Salle d'Expositions Ecole des Beaux Arts","1","CULTURE","106","Salle d'exposition","","","","NANTES","Place Dulcie September","","","44000","[ 47.2170094184269 , -1.55421703194788]"
"4006","Bibliothèque de l'ESBANM","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","NANTES","Place Dulcie September","02 40 35 90 20","","44000","[ 47.2168399568227 , -1.55377534419123]"
"1952","Château de La Gobinière","1","CULTURE","101","Musées & Châteaux","10101","Château","Public","ORVAULT","Avenue de la Ferrière","02 51 78 33 33","","44700","[ 47.2492858925267 , -1.5846704573378]"
"1954","Ecole Municipale de Musique Orvault","1","CULTURE","105","Ecole Culturelle","","","","ORVAULT","Avenue de la Ferrière","02 51 78 33 34","","44700","[ 47.2492764179777 , -1.58560866433022]"
"3437","Centre Culturel de la Gobinière","1","CULTURE","106","Salle d'exposition","","","","ORVAULT","Avenue de la Ferrière","02 51 78 33 33","","44700","[ 47.248538885371 , -1.58509095505027]"
"2629","Pont Métallique de Mauves sur Loire","1","CULTURE","104","Monument","","","","MAUVES-SUR-LOIRE","Rue de la Loire","","","44470","[ 47.2932919321391 , -1.38194096478965]"
"3895","Médiathèque George Sand","1","CULTURE","103","Médiathèque","10303","Médiathèque","Public","LE-PELLERIN","Allée George Sand","02 51 79 81 90","http://90.80.21.181/opacweb/","44640","[ 47.1990897992826 , -1.75459964241302]"
"3404","Ecole de Musique Bouaye","1","CULTURE","105","Ecole Culturelle","","","","BOUAYE","Rue du Stade","02 51 70 52 70","","44830","[ 47.1487223276549 , -1.69639798489684]"
"1450","Bibliothèque Ecole Paul Gauguin Bout des Pavés","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","NANTES","10 Rue de Québec","","","44300","[ 47.2605074986667 , -1.57696157823035]"
"1828","Bibliothèque Sillon de Bretagne","1","CULTURE","103","Médiathèque","10301","Bibliothèque","Public","ST-HERBLAIN","14 Avenue des Thébaudières","02 40 63 67 02","","44800","[ 47.2437123929916 , -1.60757603898577]"
"2055","Ecole Municipale de Musique Saint Sébastien","1","CULTURE","105","Ecole Culturelle","","","","ST-SEBASTIEN","10B Rue Edouard Hervé","02 40 33 19 03","","44230","[ 47.1910786423084 , -1.51950064837858]"
"768","Bibliothèque Centre Socioculturel Bottière","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","NANTES","2 Rue Max Planck","02 40 49 62 20","","44300","[ 47.2379999031726 , -1.51921890482344]"
"1458","Bibliothèque pour Tous Joffre","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","NANTES","32 Rue Maréchal Joffre","","","44000","[ 47.2218328040666 , -1.54745767216851]"
"4094","La Scène Michelet","1","CULTURE","107","Salle de spectacle","","","","NANTES","1 Boulevard Henry Orrion","","www.scenemichelet.com","44000","[ 47.2328598146144 , -1.55689373716458]"
"130","Musée des Beaux Arts","1","CULTURE","101","Musées & Châteaux","10102","Musée","","NANTES","10 Rue Georges Clemenceau","02 51 17 45 00","www.nantes.fr/mairie/services/responsabilites/dgc/musees","44000","[ 47.2195914348402 , -1.54738925275446]"
"3019","Théâtre Terrain Neutre","1","CULTURE","107","Salle de spectacle","","","","NANTES","11 Allée de la Maison Rouge","02 40 12 12 28","","44000","[ 47.2124437577047 , -1.55213845210025]"
"15","Bibliothèque La Halvêque","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","NANTES","23 Rue Léon Serpollet","02 40 50 62 64","","44300","[ 47.2541505546046 , -1.51899981108424]"
"157","Cité internationale des Congrès Nantes","1","CULTURE","107","Salle de spectacle","","","","NANTES","5 Rue de Valmy","02 51 88 20 00","www.congres-nantes.fr","44000","[ 47.2127669420381 , -1.54361241181679]"
"16","Bibliothèque Manufacture","1","CULTURE","103","Médiathèque","10301","Bibliothèque","","NANTES","8 Cour Jules Durand","02 40 41 95 65","","44000","[ 47.2199674721399 , -1.53621501258436]"
"3480","Espace Culturel Chai Gallais","1","CULTURE","106","Salle d'exposition","","","","SAINT-LEGER-LES-VIGNES","2 Rue de la Haute Galerie","02 40 04 88 81","","44710","[ 47.1367184702108 , -1.7212406129133]"
"2319","Musée de la Machine à Coudre","1","CULTURE","101","Musées & Châteaux","10102","Musée","","NANTES","33 Rue Gambetta","02 40 93 31 35","","44000","[ 47.2200923439032 , -1.5467944767141]"
"4092","Galerie RDV","1","CULTURE","106","Salle d'exposition","","","","NANTES","16 Allée Commandant Charcot","02 40 69 62 35","galerierdv.com","44000","[ 47.2171629425987 , -1.5458010335672]"
"3030","Ludothèque Amicale Laïque Sainte Luce sur Loire","1","CULTURE","103","Médiathèque","10302","Ludothèque","","SAINTE-LUCE-SUR-LOIRE","1 Rue Jules Ferry","02 51 13 71 17","","44980","[ 47.2511808590391 , -1.48666286156406]"
"131","Château des Ducs de Bretagne","1","CULTURE","104","Monument","","","","NANTES","4 Place Marc Elder","08 11 46 46 44","www.chateau-nantes.fr","44000","[ 47.2163485862643 , -1.54960343720158]"
"1121","Musée d'Histoire de Nantes","1","CULTURE","101","Musées & Châteaux","10102","Musée","","NANTES","4 Place Marc Elder","08 11 46 46 44","www.chateau-nantes.fr","44000","[ 47.216240073289 , -1.549918107433]"
"4095","Zoo Galerie","1","CULTURE","106","Salle d'exposition","","","","NANTES","49 Chaussée de la Madeleine","02 40 35 41 55","www.zoogalerie.fr","44000","[ 47.2092851976542 , -1.5500678989833]"
"145","La Fabrique Chantenay-Bellevue","1","CULTURE","107","Salle de spectacle","","","","NANTES","30 Boulevard de la Liberté","02 51 80 60 80","www.lafabrique.nantes.fr","44100","[ 47.1996251925819 , -1.58882873634081]"
"3987","La Fabrique Stéréolux","1","CULTURE","107","Salle de spectacle","","","","NANTES","6 Boulevard Léon Bureau","02 40 43 20 43","stereolux.org","44200","[ 47.2050849888918 , -1.56339767096501]"
