"_IDOBJ","NOM_COMPLET","LIBELLE_PERIODE","DATE_DEBUT","DATE_FIN","JOUR","HEURE_DEBUT","HEURE_FIN"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","DIMANCHE","14:00","15:00"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","DIMANCHE","15:15","16:15"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","DIMANCHE","16:30","17:30"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","LUNDI","16:30","17:30"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","MARDI","16:30","17:30"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","MERCREDI","10:30","11:30"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","MERCREDI","14:00","15:00"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","MERCREDI","15:15","16:15"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","MERCREDI","16:30","17:20"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","JEUDI","16:30","17:30"
"146","PLANÉTARIUM NANTES","PÉRIODE SCOLAIRE","23/04/2012","05/07/2012","VENDREDI","16:30","17:30"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","DIMANCHE","14:00","15:00"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","DIMANCHE","15:15","16:15"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","DIMANCHE","16:30","17:30"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","LUNDI","14:00","15:00"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","LUNDI","15:15","16:15"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","LUNDI","16:30","17:30"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MARDI","10:30","11:30"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MARDI","14:00","15:00"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MARDI","15:15","16:15"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MARDI","16:30","17:30"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MERCREDI","10:30","11:30"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MERCREDI","14:00","15:00"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MERCREDI","15:15","16:15"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","MERCREDI","16:30","17:20"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","JEUDI","14:00","15:00"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","JEUDI","15:15","16:15"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","JEUDI","16:30","17:30"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","VENDREDI","14:00","15:00"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","VENDREDI","15:15","16:15"
"146","PLANÉTARIUM NANTES","VACANCES D'ETÉ","06/07/2012","02/09/2012","VENDREDI","16:30","17:30"
"1434","MUSÉE DES BEAUX ARTS , CHAPELLE DE L'ORATOIRE","HORAIRES OUVERTURE","02/01/2011","31/12/2012","DIMANCHE","10:00","18:00"
"1434","MUSÉE DES BEAUX ARTS , CHAPELLE DE L'ORATOIRE","HORAIRES OUVERTURE","02/01/2011","31/12/2012","LUNDI","10:00","18:00"
"1434","MUSÉE DES BEAUX ARTS , CHAPELLE DE L'ORATOIRE","HORAIRES OUVERTURE","02/01/2011","31/12/2012","MERCREDI","10:00","18:00"
"1434","MUSÉE DES BEAUX ARTS , CHAPELLE DE L'ORATOIRE","HORAIRES OUVERTURE","02/01/2011","31/12/2012","JEUDI","10:00","20:00"
"1434","MUSÉE DES BEAUX ARTS , CHAPELLE DE L'ORATOIRE","HORAIRES OUVERTURE","02/01/2011","31/12/2012","VENDREDI","10:00","18:00"
