Identifiant par défaut;Nom de l'établissement;Adresse de l'établissement;Adresse secondaire de l'établissement;Code postal;Commune;Code cedex;Numéro de téléphone de l'établissement;Numéro de téléphone secondaire de l'établissement;Numéro de fax;Courriel;Site internet;Capacité de l'établissement;Les tarifs de l'établissement;Les ouvertures de l'établissement;Première classification;Deuxième classification;Appartenance au label Vignobles et Découvertes;Appartenance à la marque Accueil Vélo, accueil et services adaptés aux touristes à vélo;Appartenance à la marque Loire à Vélo, accueil et services adaptés aux touristes à vélo;Itinéraire européen. Présentation des établissements se trouvant proche de l'itinéraire;Prise en charge du handicap moteur du label Tourisme et Handicap;Prise en charge du handicap mental du label Tourisme et Handicap;Prise en charge du handicap auditif du label Tourisme et Handicap;Prise en charge du handicap visuel du label Tourisme et Handicap;"Classement ""cocottes"" spécifique aux hébergements de qualité Logis";Appartenance de l'établissemant aux chaînes hôtelières;Appartenance de l'établissemant aux labels restaurants, à la marque HOTELcert, déposée du Groupe AFNOR;Classement de l'établissement en épi, étoile, clé selon le LABEL_1;Appartenance de l'établissement aux labels restaurants, à la marque HOTELcert, déposée du Groupe AFNOR;Classement de l'établissement en épi, étoile, clé selon le LABEL_2;Appartenance de l'établissement au label écologique Européen - Catégorie 1;Appartenance de l'établissement au label écologique Européen - Catégorie 2;Zones géographique du département;Etablissement disposant d'un restaurant;Etablissement disposant d'un parking;Etablissement disposant d'une piscine;Etablissement disposant d'un spas, sauna, hammam;Etablissement acceptant les animaux;Etablissement disposant d'une salle de réunion;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Base tarif 1 de l'établissement;Base tarif 2 de l'établissement;Chèques Vacances acceptés par l'établissement;Capacité, en personnes;Capacité, en chambres;_l
1;LE BRETAGNE;33 rue du Mes;Pont d'Armes;44410;ASSERAC;;02 40 01 71 03;;;contact@lebretagne.net;www.lebretagne.net;12 chambres;;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;;;français;;;;;;oui;;12;[ 47.41377052 , -2.39918115]
2;LE LICHEN DE LA MER;4 route de la Govelle;;44740;BATZ-SUR-MER;;02 40 23 91 92;;02 40 23 84 88;info@le-lichen.com;www.le-lichen.com;17 chambres;De 60 à 260 Euros;Ouvert du 17/12/11 au 15/11/12;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;oui;allemand;anglais;;;;;oui;;17;[ 47.27000169 , -2.45898179]
3;LES EMBRUNS;Route du Croisic;;44740;BATZ-SUR-MER;;02 40 23 83 33;;02 40 23 84 02;hotel.lesembruns@orange.fr;;19 chambres;De 48 à 65 Euros;Ouvert du 12/02/12 au 15/11/12;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;19;[ 47.27937572 , -2.48370467]
4;B&B HÔTEL NANTES AEROPORT;Latécoère;Aéroport de Nantes Atlantique;44346;BOUGUENAIS;;08 92 78 80 68;;02 51 70 83 00;;www.hotelbb.com;84 chambres;De 49 à 63 Euros;;Hôtels;;;;;;;;;;;;;;;;CléVerte;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;84;[ 47.157322 , -1.6020495]
5;HOTEL F1 - BOUGUENAIS;Parc de la Bouvre;;44340;BOUGUENAIS;;08 91 70 53 38;;02 40 26 94 39;H2430@accor.com;www.hotelformule1.com;63 chambres;;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;63;[ 47.1736863 , -1.6101151]
6;ESCALE OCEANIA;Aéroport de Nantes Atlantique;;44340;BOUGUENAIS;;02 40 32 14 14;;02 40 32 14 13;escaleoceanianantes@oceaniahotels.com;www.oceaniahotels.com;74 chambres;De 79 à 140 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;Piscine;;oui;;anglais;espagnol;;;;;oui;;74;[ 47.157322 , -1.6020495]
7;HOTEL F1 - CARQUEFOU LA BELLE ETOILE;2, Allée des Sapins;RN 23;44470;CARQUEFOU;;08 91 70 53 36;;02 40 68 83 80;arnaud.griffon@accor.com;www.hotelf1.com;64 chambres;De 31 à 34 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;espagnol;;;;;;oui;;64;[ 47.2968907 , -1.4922237]
8;LE CHATEAUBRIANT;30, rue du 11 novembre;;44110;CHATEAUBRIANT;;02 40 28 14 14;;02 40 28 26 49;hotellechateaubriant@orange.fr;www.hotellechateaubriant.fr;34 chambres;De 55 à 116 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;34;[ 47.7205167 , -1.3770787]
9;ETAP HOTEL;Route de St Nazaire;;44110;CHATEAUBRIANT;;08 92 70 12 57;;02 40 81 06 16;h6753@accor.com;www.etaphotel.com;34 chambres;De 39 à 42 Euros;;Hôtels;;;;;;;;;;;Etap Hotel;;;;;;;;;;;;oui;;;;;;;;;;34;[ 47.7044289 , -1.3918752]
10;LA GARE;;23 rue Ferdinand Albert;44190;CLISSON;;02 40 36 16 55;;02 40 54 40 85;petit-sa@wanadoo.fr;www.hotel-delagare.fr;35 chambres;A partir de  60 ;Ouvert toute l'année;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;;oui;oui;anglais;;;;;;oui;;35;[ 47.0865734 , -1.2860688]
11;AUBERGE DE LA CASCADE;;26 route de Gervaux;44190;CLISSON;;02 40 54 02 41;;;lacascade-clisson44@orange.fr;;10 chambres;;;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;;oui;;anglais;;;;;;oui;;10;[ 47.0957871 , -1.2818436]
12;BEST WESTERN VILLA SAINT ANTOINE;8 rue St Antoine;;44190;CLISSON;;02 40 85 46 46;;02 40 85 46 47;contact@hotel-villa-saint-antoine.com;www.hotel-villa-saint-antoine.com;43 chambres;;Ouvert toute l'année;Hôtels;;oui;;;;;;;;;Best Western;;;;;;;;oui;oui;Piscine;oui;oui;oui;anglais;espagnol;;;;;;;43;[ 47.0868717 , -1.2783918]
